,date,elev,unit,elevft
587,2014-08-11,1279.1986179999842,ft,4196.84585958
588,2014-08-12,1279.1803299999842,ft,4196.785859580001
589,2014-08-13,1279.1742339999842,ft,4196.76585958
590,2014-08-14,1279.1803299999842,ft,4196.785859580001
591,2014-08-15,1279.1742339999842,ft,4196.76585958
592,2014-08-16,1279.149849999984,ft,4196.68585958
593,2014-08-17,1279.1528979999844,ft,4196.695859580001
594,2014-08-18,1279.1346099999841,ft,4196.63585958
595,2014-08-19,1279.0919379999843,ft,4196.495859580001
596,2014-08-20,1279.110225999984,ft,4196.55585958
597,2014-08-21,1279.119369999984,ft,4196.58585958
598,2014-08-22,1279.1224179999842,ft,4196.59585958
599,2014-08-23,1279.1315619999841,ft,4196.62585958
600,2014-08-24,1279.119369999984,ft,4196.58585958
601,2014-08-25,1279.1285139999843,ft,4196.615859580001
602,2014-08-26,1279.1041299999843,ft,4196.535859580001
603,2014-08-27,1279.1010819999842,ft,4196.5258595800005
604,2014-08-28,1279.0858419999843,ft,4196.47585958
605,2014-08-29,1279.0858419999843,ft,4196.47585958
606,2014-08-30,1279.0980339999842,ft,4196.51585958
607,2014-08-31,1279.1041299999843,ft,4196.535859580001
608,2014-09-01,1279.0888899999843,ft,4196.485859580001
609,2014-09-02,1279.082793999984,ft,4196.46585958
610,2014-09-03,1279.1010819999842,ft,4196.5258595800005
611,2014-09-04,1279.1041299999843,ft,4196.535859580001
612,2014-09-05,1279.067553999984,ft,4196.41585958
613,2014-09-06,1279.0553619999841,ft,4196.37585958
614,2014-09-07,1279.043169999984,ft,4196.33585958
615,2014-09-08,1279.0248819999842,ft,4196.2758595800005
616,2014-09-09,1279.030977999984,ft,4196.29585958
617,2014-09-10,1279.0523139999843,ft,4196.365859580001
618,2014-09-11,1279.0736499999841,ft,4196.43585958
619,2014-09-12,1279.0584099999842,ft,4196.38585958
620,2014-09-13,1279.046217999984,ft,4196.34585958
621,2014-09-14,1279.0492659999843,ft,4196.3558595800005
622,2014-09-15,1279.046217999984,ft,4196.34585958
623,2014-09-16,1279.0401219999842,ft,4196.325859580001
624,2014-09-17,1279.0340259999841,ft,4196.30585958
625,2014-09-18,1279.043169999984,ft,4196.33585958
626,2014-09-19,1279.0492659999843,ft,4196.3558595800005
627,2014-09-20,1279.0523139999843,ft,4196.365859580001
628,2014-09-21,1279.0370739999842,ft,4196.3158595800005
629,2014-09-22,1279.0340259999841,ft,4196.30585958
630,2014-09-23,1279.0279299999843,ft,4196.285859580001
631,2014-09-24,1279.0218339999842,ft,4196.26585958
632,2014-09-25,1279.003545999984,ft,4196.20585958
633,2014-09-26,1279.0157379999844,ft,4196.245859580001
634,2014-09-27,1278.9852579999842,ft,4196.14585958
635,2014-09-28,1279.0553619999841,ft,4196.37585958
636,2014-09-29,1279.070601999984,ft,4196.42585958
637,2014-09-30,1279.079745999984,ft,4196.45585958
638,2014-10-01,1279.082793999984,ft,4196.46585958
639,2014-10-02,1279.0645059999842,ft,4196.405859580001
640,2014-10-03,1279.0645059999842,ft,4196.405859580001
641,2014-10-04,1279.0553619999841,ft,4196.37585958
642,2014-10-05,1279.030977999984,ft,4196.29585958
643,2014-10-06,1279.0279299999843,ft,4196.285859580001
644,2014-10-07,1279.0279299999843,ft,4196.285859580001
645,2014-10-08,1279.0248819999842,ft,4196.2758595800005
646,2014-10-09,1279.0370739999842,ft,4196.3158595800005
647,2014-10-10,1279.046217999984,ft,4196.34585958
648,2014-10-11,1279.0340259999841,ft,4196.30585958
649,2014-10-12,1279.067553999984,ft,4196.41585958
650,2014-10-13,1279.0187859999842,ft,4196.25585958
651,2014-10-14,1279.0126899999843,ft,4196.235859580001
652,2014-10-15,1279.0218339999842,ft,4196.26585958
653,2014-10-16,1279.0218339999842,ft,4196.26585958
654,2014-10-17,1279.0187859999842,ft,4196.25585958
655,2014-10-18,1279.0187859999842,ft,4196.25585958
656,2014-10-19,1279.0126899999843,ft,4196.235859580001
657,2014-10-20,1279.009641999984,ft,4196.22585958
658,2014-10-21,1279.006593999984,ft,4196.21585958
659,2014-10-22,1279.003545999984,ft,4196.20585958
660,2014-10-23,1278.9974499999842,ft,4196.18585958
